,total_h_index
436,University of Alabama - Huntsville
437,BUPT
438,Tilburg University
439,Friedrich Schiller University Jena
440,Southern Methodist University
441,Ecole Normale Superieure de Lyon
442,Texas Tech University
443,Korea University
444,Bundeswehr University Munich
445,IMDEA Software Institute
446,Simmons University
447,Université Laval
448,Lebanese American University
449,University of Malaya
450,University of Twente
451,Stellenbosch University
452,NTNU
453,RMIT University
454,University of Tsukuba
455,UNICAMP
456,IPM
457,USP-ICMC
458,Hamburg University of Technology
459,Qatar University
460,University of Denver
461,Renmin University of China
462,University of Exeter
463,Shandong University
464,Hunan University
465,Maastricht University
466,Heriot-Watt University
467,Tongji University
468,University of Arkansas
469,University of Nevada
470,CMI
471,University of Haifa
472,Sabancı University
473,USP
474,Masaryk University
475,University of Warsaw
476,IIT Hyderabad
477,DAIICT
478,Kent State University
479,IPI PAN
480,University of St Andrews
481,University of Wroclaw
482,IIT Ropar
483,Texas State University
484,New Mexico State University
485,Hanyang University
486,McMaster University
487,North Dakota State University
488,University of Wuppertal
489,CRIStAL
490,Massey University
491,UFRGS
492,University of Buenos Aires
493,Mississippi State University
494,TOBB ETÜ
495,Oakland University
496,Naval Postgraduate School
497,IIT Roorkee
498,UFPE
499,OHSU
500,American University of Beirut
501,UFRJ
502,Masdar Institute
503,IIIT Bangalore
504,Stevens Institute of Technology
505,BITS Pilani
506,Durham University
507,University of Cincinnati
508,Universidade NOVA de Lisboa
509,Shenzhen University
510,UFF
511,University of Wisconsin - Milwaukee
512,IMSc
513,Université Jean Monnet
514,IIIT Delhi
515,Utah State University
516,Hacettepe University
517,IIT Madras
518,University of Nevada Las Vegas
519,Charles University
520,Ecole Normale Superieure de Rennes
521,Ohio University
522,TU Chemnitz
523,Universidad de Zaragoza
524,University at Albany - SUNY
525,University of Murcia
526,Soochow University
527,American University in Cairo
528,Sharif University of Technology
529,IIT Jodhpur
530,Universidade de Brasília
531,IIT Indore
532,University of A Coruña
533,Boston College
534,Middle East Technical University
535,Istanbul Technical University
536,University of Idaho
537,Memorial University of Newfoundland
538,University of Cape Town
539,University of Nicosia
540,UNIST
541,Michigan Technological University
542,Middlesex University
543,JUST
544,University of Windsor
545,Kyungpook National University
546,Goldsmiths University of London
547,Loughborough University
548,Montana State University
549,South Asian University
550,ShanghaiTech University
551,Federal University of Rio Grande
552,Universidad Nacional de Córdoba
553,IUST
554,Galatasaray University
555,University of New Orleans
556,Wichita State University
557,BUET
558,Towson University
559,UFPR
560,Yıldız Technical University
561,UFMS
562,LUMS
563,Ariel University
564,Babeș-Bolyai University
565,Indiana State University
566,New Mexico Tech
567,Augusta University
568,Izmir Institute of Technology
569,University of Malta
570,SUFE
571,DTU
572,Universidad de los Andes
573,Ruhr-Universty Bochum
574,University of Nebraska - Omaha
575,KMUTNB
576,Missouri S&T
577,King Abdulaziz University
578,UFU
579,Royal Military College of Canada
580,University of Arkansas - Little Rock
581,Oklahoma State University
582,Universidade Federal de Viçosa
583,BITS Pilani-Goa
584,TU Freiberg
585,Air Force Institute of Technology
586,University of Jordan
587,Chulalongkorn University
588,National Institute of Technology Silchar
589,De La Salle University
590,University of Colorado - Denver
591,IIT Goa
592,Wichita State Unitveristy
593,LIU Post
594,Louisiana Tech University
595,University of Mississippi
