college,total_citations
Brigham Young University,130615.0
University of Tsukuba,129562.0
Dalhousie University,129399.0
University of Leeds,127133.0
Ruhr-University Bochum,126868.0
IIT Bombay,126627.0
Heidelberg University,126624.0
University of Warsaw,126226.0
Sun Yat-sen University,124789.0
Drexel University,123739.0
Colorado State University,123237.0
UFRGS,123192.0
University of Tartu,122739.0
Queen's University Belfast,122604.0
Northern Arizona University,122603.0
UNICAMP,122493.0
University of Luxembourg,122347.0
University of Zurich,121220.0
University of Oregon,121162.0
TU Dresden,119706.0
USP-ICMC,118719.0
University of Victoria,117666.0
Royal Holloway University of London,117421.0
University of Saskatchewan,116857.0
University of Konstanz,116662.0
Syracuse University,115634.0
University of Hannover,115548.0
Binghamton University,115385.0
TU Kaiserslautern,110709.0
Hong Kong Baptist University,110209.0
University of Bonn,110043.0
University of Oklahoma,106917.0
Florida International University,106148.0
University of Hamburg,105777.0
Hunan University,105286.0
Open University UK,105156.0
University of Texas at San Antonio,104598.0
University of A Coruña,103811.0
Xi'an Jiaotong University,103392.0
Concordia University,102979.0
University of Otago,102007.0
University of Bergen,100836.0
Shenzhen University,99687.0
Illinois Institute of Technology,98532.0
Tufts University,97773.0
University of Innsbruck,97679.0
UCCS,97521.0
Georgia State University,95839.0
University of Georgia,95282.0
University of Western Australia,94582.0
University of Mannheim,92767.0
Texas A&M at Qatar,92753.0
Heriot-Watt University,92692.0
University of Massachusetts Boston,92449.0
Lund University,92388.0
Birkbeck University of London,91734.0
NTNU,91641.0
Humboldt University of Berlin,90926.0
University of Lübeck,90865.0
Kyungpook National University,89964.0
Wayne State University,89745.0
Masaryk University,89716.0
University of Hawaii at Manoa,89677.0
University of Guelph,89237.0
Lehigh University,88959.0
University of New Brunswick,88672.0
HUST,88334.0
Ben-Gurion University of the Negev,88334.0
University of Würzburg,88243.0
Wuhan University,87364.0
Université libre de Bruxelles,86717.0
University of Ulm,86310.0
University of Ioannina,86258.0
Florida Atlantic University,86167.0
Queensland University of Technology,85910.0
Renmin University of China,85026.0
Missouri University of Technology,84879.0
Paderborn University,84391.0
Qatar Computing Research Institute,83076.0
University of Missouri,82916.0
Colorado School of Mines,82038.0
Beihang University,80860.0
IIIT Delhi,80802.0
TU Braunschweig,80726.0
College of William and Mary,80725.0
University of Kentucky,80016.0
DePaul University,79096.0
University of Iowa,78320.0
Case Western Reserve University,77809.0
ETS Montreal,77467.0
IMDEA Networks Institute,77385.0
University of North Texas,77334.0
University of Münster,76337.0
National Tsing Hua University,76074.0
University of Magdeburg,76064.0
Yonsei University,75904.0
PUC-RIO,75552.0
Massey University,72422.0
IIT Delhi,71973.0
Qatar University,71971.0
Westlake University,70226.0
University of New Mexico,69708.0
Maastricht University,69637.0
University of Sussex,69617.0
University of Düsseldorf,69602.0
University of Exeter,69587.0
