name,homepage,scholar_id,citations,h-index,earliest_paper
Alex Orailoglu,http://cseweb.ucsd.edu/~alex,RJhla18AAAAJ,4534.0,35.0,1983.0
Vineet Bafna,http://cseweb.ucsd.edu/~vbafna,NzQu5SwAAAAJ,48729.0,75.0,1957.0
Manmohan Chandraker,http://cseweb.ucsd.edu/~mkchandraker,oPFCNk4AAAAJ,8211.0,43.0,2002.0
Scott R. Klemmer,http://d.ucsd.edu/srk,BEHcR-IAAAAJ,10095.0,43.0,2000.0
Geoff Voelker,http://cseweb.ucsd.edu/~voelker,ZfDtNpUAAAAJ,27448.0,76.0,1990.0
Arun Kumar,http://cseweb.ucsd.edu/~arunkk,hZQ57XcAAAAJ,2377.0,21.0,2010.0
Michael Thomas Tolley,https://tolley.eng.ucsd.edu,0kOHVOkAAAAJ,10632.0,36.0,2007.0
Tara Javidi,https://tjavidi.eng.ucsd.edu,G5Sg9DEAAAAJ,6240.0,37.0,2001.0
Jeffrey B. Remmel,http://www.math.ucsd.edu/~remmel,,,,
Yiying Zhang,http://cseweb.ucsd.edu/~yiyingzhang/index.html,5AWXENIAAAAJ,1756.0,24.0,1996.0
Xinyu Zhang,http://xyzhang.ucsd.edu,HQB8W_IAAAAJ,5320.0,40.0,2008.0
Tzu-Mao Li,https://people.csail.mit.edu/tzumao,Y7MCOdYAAAAJ,1155.0,13.0,2012.0
Shankar Subramaniam,https://genome.ucsd.edu,66XO2NcAAAAJ,46834.0,84.0,1966.0
William G. Griswold,http://cseweb.ucsd.edu/~wgg,yx0wJlIAAAAJ,19167.0,53.0,1986.0
Yian Ma,https://sites.google.com/view/yianma/home,OkOGR_8AAAAJ,2290.0,18.0,2011.0
Pat Pannuto,https://patpannuto.com,4uuuczIAAAAJ,1886.0,17.0,2011.0
Bill Lin,http://cwcserv.ucsd.edu/~billlin,j3geh3QAAAAJ,6214.0,44.0,1987.0
Adalbert Gerald Soosai Raj,https://adalbertgerald.github.io,0TxoLzMAAAAJ,232.0,8.0,2015.0
Hao Su,http://ai.ucsd.edu/~haosu,1P8Zu04AAAAJ,59467.0,50.0,2006.0
Albert Chern,https://page.math.tu-berlin.de/~chern/projects,f3o6lHUAAAAJ,175.0,8.0,2015.0
