,Name,affiliation,homepage,scholar-id,citations,h-index
1727,Linh Anh Nguyen,University of Warsaw,http://www.mimuw.edu.pl/~nguyen,,,
1728,Marcin Peczarski,University of Warsaw,http://www.mimuw.edu.pl/~marpe,,,
1729,Andrzej Janusz,University of Warsaw,https://ml.linkedin.com/in/andrzej-janusz-bb693a33,,,
1730,Anna Zych,University of Warsaw,http://informatorects.uw.edu.pl/en/courses/view?prz_kod=1000-712ASD,,,
1731,Jan Madey,University of Warsaw,http://www.eunis.org/organization/jan-madey-bio,,,
1732,Jane E. Sinclair,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/jane_sinclair,,,
1733,Matthew Leeke,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/matthew_leeke,,,
1734,Matthias Englert,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/matthias_englert,,,
1735,Dmitry Chistikov,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/dmitry_chistikov,,,
1736,Alan Borning,University of Washington,http://www.cs.washington.edu/people/faculty/borning,,,
1737,Tanushree Mitra,University of Washington,http://faculty.washington.edu/tmitra,,,
1738,Sewoong Oh,University of Washington,http://swoh.web.engr.illinois.edu,,,
1739,Michael B. Taylor,University of Washington,http://cseweb.ucsd.edu/~mbtaylor,H75ld_gAAAAJ,170.0,2.0
1740,Steve Tanimoto,University of Washington,http://www.cs.washington.edu/people/faculty/tanimoto,OeULb38AAAAJ,7509.0,35.0
1741,Ranjay Krishna,University of Washington,http://www.ranjaykrishna.com/index.html,IcqahyAAAAAJ,7012.0,21.0
1742,Martin Tompa,University of Washington,http://www.cs.washington.edu/people/faculty/tompa,0dLrHcQAAAAJ,9722.0,40.0
1743,Linda G. Shapiro,University of Washington,http://cs.washington.edu/homes/shapiro,nBwaXUsAAAAJ,29108.0,59.0
1744,Gary Hsieh,University of Washington,http://faculty.washington.edu/garyhs,-hwb_2kAAAAJ,3489.0,29.0
1745,Adriana Schulz,University of Washington,https://homes.cs.washington.edu/~adriana,q_krEZgAAAAJ,577.0,12.0
1746,Shyam Gollakota,University of Washington,https://homes.cs.washington.edu/~gshyam,w_HJY2MAAAAJ,12404.0,43.0
1747,John Zahorjan,University of Washington,https://homes.cs.washington.edu/~zahorjan,,,
1748,Leilani Battle,University of Washington,https://homes.cs.washington.edu/~leibatt/bio.html,,,
1749,Meng Xu,University of Waterloo,https://cs.uwaterloo.ca/~m285xu,,,
1750,Richard Mann,University of Waterloo,https://cs.uwaterloo.ca/~mannr,,,
1751,Lukasz Golab,University of Waterloo,https://www.engineering.uwaterloo.ca/~lgolab,,,
1752,Lila Kari,University of Waterloo,https://cs.uwaterloo.ca/about/people/lila,,,
1753,Chaitanya Swamy,University of Waterloo,http://www.math.uwaterloo.ca/~cswamy,,,
1754,Gladimir Baranoski,University of Waterloo,http://www.npsg.uwaterloo.ca/people/gladimir,,,
1755,Prabhakar Ragde,University of Waterloo,https://cs.uwaterloo.ca/~plragde,,,
1756,Ian Goldberg,University of Waterloo,https://cs.uwaterloo.ca/~iang,,,
1757,Ian Munro,University of Waterloo,https://cs.uwaterloo.ca/~imunro,,,
1758,Peter A. Buhr,University of Waterloo,http://plg.uwaterloo.ca/~pabuhr,,,
1759,Eric Blais,University of Waterloo,https://cs.uwaterloo.ca/~eblais,,,
1760,Andrew C. Doxey,University of Waterloo,http://doxey.uwaterloo.ca,iUQqmUYAAAAJ,2340.0,30.0
1761,Grant E. Weddell,University of Waterloo,https://cs.uwaterloo.ca/faculty-staff/contacts/grant-weddell,QjSgyEsAAAAJ,1450.0,20.0
1762,Sebastian Fischmeister,University of Waterloo,https://uwaterloo.ca/embedded-software-group/people-profiles/sebastian-fischmeister,,,
1763,James R. Wallace,University of Waterloo,https://uwaterloo.ca/human-computer-interaction-health-lab,,,
1764,Justin W. L. Wan,University of Waterloo,https://cs.uwaterloo.ca/~jwlwan,jaJlXfwAAAAJ,1396.0,19.0
1765,Khuzaima Daudjee,University of Waterloo,http://cs.uwaterloo.ca/~kdaudjee,,,
1766,Mark Giesbrecht,University of Waterloo,https://uwaterloo.ca/~mwg,,,
1767,Daniel G. Brown,University of Waterloo,https://cs.uwaterloo.ca/~browndg,,,
1768,Ian McKillop,University of Waterloo,https://uwaterloo.ca/public-health-and-health-systems/people-profiles/ian-mckillop,,,
1769,Arne Storjohann,University of Waterloo,https://cs.uwaterloo.ca/~astorjoh,,,
1770,Stephen Mann,University of Waterloo,http://www.cgl.uwaterloo.ca/smann,,,
1771,Richard J. Trefler,University of Waterloo,https://cs.uwaterloo.ca/~trefler,,,
1772,Shalev Ben-David,University of Waterloo,https://cs.uwaterloo.ca/about/people/shalev-ben-david,,,
1773,Cara K. MacNish,University of Western Australia,http://www.web.uwa.edu.au/people/cara.macnish,nqqUzUYAAAAJ,1734.0,15.0
1774,Lyndon While,University of Western Australia,http://uwa.edu.au/people/lyndon.while,XcUewvwAAAAJ,5118.0,24.0
1775,Christof Hübner,University of Western Australia,http://www.ecm.uwa.edu.au/research/engineering-communities-environment/energy-saving-houses/investigatorsandpartners,,,
1776,Bruce S. Gardiner,University of Western Australia,http://biomed.csse.uwa.edu.au/people_bruce.php,EhgH1t8AAAAJ,4070.0,36.0
1777,Scott. D. Goodwin,University of Windsor,http://www.uwindsor.ca/science/computerscience/1036/dr-scott-goodwin,,,
1778,Pooya Moradian Zadeh,University of Windsor,http://www.uwindsor.ca/science/computerscience/1047/dr-pooya-moradian-zadeh,,,
1779,Alioune Ngom,University of Windsor,http://www.uwindsor.ca/science/computerscience/1061/dr-alioune-ngom,,,
1780,Robert D. Kent,University of Windsor,http://www.uwindsor.ca/science/computerscience/1037/dr-robert-kent,,,
1781,Yung H. Tsin,University of Windsor,http://www.uwindsor.ca/science/computerscience/1025/dr-yung-h-tsin,,,
1782,Xiaobu Yuan,University of Windsor,http://www.uwindsor.ca/science/computerscience/1032/dr-xiaobu-yuan,,,
1783,Boubakeur Boufama,University of Windsor,http://www.uwindsor.ca/science/computerscience/1059/dr-boubakeur-boufama,-xk1C0cAAAAJ,1610.0,19.0
1784,Sherif Saad Ahmed,University of Windsor,http://www.uwindsor.ca/science/computerscience/1026/dr-sherif-saad-ahmed,,,
1785,Xiao Jun Chen,University of Windsor,http://www.uwindsor.ca/science/computerscience/1058/dr-jessica-chen,,,
1786,Ziad Kobti,University of Windsor,http://www.uwindsor.ca/science/computerscience/1060/dr-ziad,,,
1787,Dieter van Melkebeek,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~dieter,,,
1788,Jelena Diakonikolas,University of Wisconsin - Madison,http://www.jelena-diakonikolas.com,J8ixfu8AAAAJ,833.0,17.0
