,Name,affiliation,homepage,scholar-id,citations,h-index
107,Adam Rogalewicz,Brno University of Technology,https://www.fit.vut.cz/person/rogalew,,,
108,Lukás Burget,Brno University of Technology,https://www.fit.vut.cz/person/burget,pRBbU7wAAAAJ,25310.0,56.0
109,Thomas Serre,Brown University,https://serre-lab.clps.brown.edu/person/thomas-serre,kZlPW4wAAAAJ,14728.0,42.0
110,Malte Schwarzkopf,Brown University,http://www.malteschwarzkopf.de,Lf1hSacAAAAJ,2988.0,19.0
111,Andries van Dam,Brown University,http://cs.brown.edu/~avd,,,
112,Amy Greenwald,Brown University,http://cs.brown.edu/~amygreen,aQCRuYQAAAAJ,4058.0,32.0
113,George Dimitri Konidaris,Brown University,http://cs.brown.edu/people/gdk,9UERvVEAAAAJ,5826.0,41.0
114,Vasileios P. Kemerlis,Brown University,https://cs.brown.edu/~vpk,tkb2YWQAAAAJ,3031.0,28.0
115,Sorin Istrail,Brown University,http://www.brown.edu/Research/Istrail_Lab/sorin.php,,,
116,Shriram Krishnamurthi,Brown University,https://cs.brown.edu/~sk,Cxwj5hEAAAAJ,10592.0,55.0
117,John E. Savage,Brown University,http://cs.brown.edu/~jes,1lHqK_4AAAAJ,338.0,8.0
118,David H. Laidlaw,Brown University,http://cs.brown.edu/~dhl,GIle-VwAAAAJ,17097.0,58.0
119,Michael L. Littman,Brown University,http://cs.brown.edu/~mlittman,iRMZ2hoAAAAJ,49808.0,86.0
120,Maurice Herlihy,Brown University,http://cs.brown.edu/~mph,Ezrt3pkAAAAJ,31523.0,73.0
121,Pedro F. Felzenszwalb,Brown University,http://cs.brown.edu/~pff,k1hJzF0AAAAJ,34125.0,30.0
122,Rodrigo C. Fonseca,Brown University,http://cs.brown.edu/~rfonseca,VuvKPiQAAAAJ,10061.0,43.0
123,Jeff Huang,Brown University,http://jeffhuang.com,o8oJ6s4AAAAJ,3523.0,29.0
124,Stan Zdonik,Brown University,http://cs.brown.edu/~sbz,k3YaoIEAAAAJ,32073.0,81.0
125,Roberto Tamassia,Brown University,http://cs.brown.edu/~rt,eEYPTKUAAAAJ,24439.0,70.0
126,Franco P. Preparata,Brown University,http://cs.brown.edu/~franco,i6uX5zUAAAAJ,379.0,9.0
127,Chen Sun,Brown University,https://chensun.me,vQa7heEAAAAJ,12479.0,34.0
128,James Tompkin,Brown University,http://www.jamestompkin.com,Ex3pgLAAAAAJ,2042.0,25.0
129,Theophilus A. Benson,Brown University,https://users.cs.duke.edu/~tbenson,55B-xqUAAAAJ,6931.0,30.0
130,Sherief Reda,Brown University,https://scale.engin.brown.edu/pages/sreda.html,p69MQp4AAAAJ,4564.0,38.0
131,John F. Hughes,Brown University,http://cs.brown.edu/~jfh,EEG6tPMAAAAJ,25390.0,50.0
132,Seny Kamara,Brown University,https://cs.brown.edu/~seny,TY9L1ecAAAAJ,10958.0,32.0
133,Thomas W. Doeppner Jr.,Brown University,https://cs.brown.edu/~twd,,,
134,Srinath Sridhar,Brown University,https://cs.brown.edu/people/ssrinath,qIvZT74AAAAJ,3281.0,16.0
135,Ritambhara Singh,Brown University,https://ritambharasingh.com,V6lRMxoAAAAJ,1995.0,14.0
136,Carsten Eickhoff,Brown University,https://brown.edu/Research/AI/people/carsten.html,QQi1_rAAAAAJ,2728.0,24.0
137,Eugene Charniak,Brown University,https://cs.brown.edu/~ec,_XHudx4AAAAJ,24624.0,66.0
138,Steven P. Reiss,Brown University,http://cs.brown.edu/~spr,fn3HR4YAAAAJ,19671.0,56.0
139,Eli Upfal,Brown University,https://cs.brown.edu/people/eli,O_7MVDIAAAAJ,18405.0,59.0
140,Philip N. Klein,Brown University,http://cs.brown.edu/~pnk,gVUD47sAAAAJ,10054.0,51.0
141,Daniel Ritchie,Brown University,https://dritchie.github.io,0RiypNsAAAAJ,2964.0,20.0
142,Stephen H. Bach,Brown University,https://cs.brown.edu/people/sbach,hs6pGXoAAAAJ,3053.0,17.0
143,Ellie Pavlick,Brown University,https://cs.brown.edu/people/epavlick/index.html,sFyrSa8AAAAJ,3924.0,25.0
144,Ugur Çetintemel,Brown University,https://cs.brown.edu/people/faculty/ugur,,,
145,Stefanie Tellex,Brown University,http://cs.brown.edu/~stefie10,Pd8-ju0AAAAJ,5504.0,37.0
146,Anna Lysyanskaya,Brown University,https://cs.brown.edu/people/anna,woqUivYAAAAJ,12091.0,43.0
147,Faris Alwzinani,Brunel University London,https://www.brunel.ac.uk/people/faris-alwzinani,QdsIHjgAAAAJ,10.0,2.0
148,Alan Edwin Serrano-Rico,Brunel University London,https://www.brunel.ac.uk/people/alan-serrano,EbUlFxwAAAAJ,1441.0,20.0
149,Alessandro Pandini,Brunel University London,https://www.brunel.ac.uk/people/alessandro-pandini,6hPiNCgAAAAJ,1707.0,18.0
150,Rumyana Neykova,Brunel University London,https://www.brunel.ac.uk/people/rumyana-neykova,AN2wqD0AAAAJ,792.0,12.0
151,Theodora Koulouri,Brunel University London,https://www.brunel.ac.uk/people/theodora-koulouri2,lOELX4UAAAAJ,305.0,8.0
152,Alireza Mousavi,Brunel University London,https://www.brunel.ac.uk/people/ali-mousavi,XkuYCeYAAAAJ,1485.0,19.0
153,Andrea Capiluppi,Brunel University London,https://www.brunel.ac.uk/people/andrea-capiluppi,pWVTJ3YAAAAJ,2177.0,27.0
154,Robert D. Macredie,Brunel University London,https://www.brunel.ac.uk/people/robert-macredie,jdB84x8AAAAJ,4990.0,33.0
155,Nour Ali,Brunel University London,https://www.brunel.ac.uk/people/nour-ali,vPCf98oAAAAJ,1748.0,21.0
156,Allan Tucker,Brunel University London,https://www.brunel.ac.uk/people/allan-tucker,F55XS58AAAAJ,2668.0,29.0
157,Martin J. Shepperd,Brunel University London,https://www.brunel.ac.uk/people/martin-shepperd,VqZsDvUAAAAJ,13175.0,55.0
158,Anastasia Anagnostou,Brunel University London,https://www.brunel.ac.uk/people/anastasia-anagnostou,KabR3MQAAAAJ,553.0,15.0
159,George Ghinea,Brunel University London,https://www.brunel.ac.uk/people/george-ghinea,k-Q6RlEAAAAJ,7564.0,46.0
160,Timothy Cribbin,Brunel University London,https://www.brunel.ac.uk/people/timothy-cribbin,YElMutkmjUoJ,662.0,13.0
161,Yongmin Li,Brunel University London,https://www.brunel.ac.uk/people/yongmin-li,R5dedx0AAAAJ,3844.0,31.0
162,Ian D. Blackman,Brunel University London,https://www.brunel.ac.uk/people/ian-blackman,nGWe75sAAAAJ,660.0,11.0
163,Zidong Wang,Brunel University London,https://www.brunel.ac.uk/people/zidong-wang,Bbz0jRUAAAAJ,59425.0,135.0
164,Stasha Lauria,Brunel University London,https://www.brunel.ac.uk/people/stanislao-lauria,,,
165,Xiaohui Liu,Brunel University London,https://www.brunel.ac.uk/people/xiaohui-liu,G9UHfbwAAAAJ,28639.0,87.0
166,Stephen J. Counsell,Brunel University London,https://www.brunel.ac.uk/people/steve-counsell,It_Dl_UAAAAJ,7255.0,38.0
167,David Bell,Brunel University London,https://www.brunel.ac.uk/people/david-bell,8lfxFfIAAAAJ,700.0,13.0
168,Mark Perry,Brunel University London,https://www.brunel.ac.uk/people/mark-perry,qL33780AAAAJ,4448.0,30.0
169,David R. Gilbert,Brunel University London,https://www.brunel.ac.uk/people/david-gilbert,DS-hZXgAAAAJ,7236.0,40.0
170,Armin Kashefi,Brunel University London,https://www.brunel.ac.uk/people/armin-kashefi,pZhfz0kAAAAJ,108.0,6.0
171,Kathy McGrath,Brunel University London,https://www.brunel.ac.uk/people/kathy-mcgrath,49RIzd4AAAAJ,1213.0,14.0
172,Simon J. E. Taylor,Brunel University London,https://www.brunel.ac.uk/people/simon-taylor,ig7RNOgAAAAJ,3848.0,32.0
173,Stephen Swift,Brunel University London,https://www.brunel.ac.uk/people/stephen-swift,cDvF-W4AAAAJ,2860.0,25.0
174,Kate Hone,Brunel University London,https://www.brunel.ac.uk/people/kate-hone,kDS5XxgAAAAJ,4554.0,31.0
175,Mahir Arzoky,Brunel University London,https://www.brunel.ac.uk/people/mahir-arzoky,xaj1ZbMAAAAJ,129.0,7.0
176,Crina Grosan,Brunel University London,https://www.brunel.ac.uk/people/crina-grosan,tCLKdLkAAAAJ,5903.0,40.0
177,Arthur G. Money,Brunel University London,https://www.brunel.ac.uk/people/arthur-money,dmzs-pIAAAAJ,1675.0,17.0
178,Giuseppe Destefanis,Brunel University London,https://www.brunel.ac.uk/people/giuseppe-destefanis,o2KkJXIAAAAJ,1608.0,22.0
179,Derek Groen,Brunel University London,https://www.brunel.ac.uk/people/derek-groen,lK4WTUsAAAAJ,1990.0,24.0
180,Panos Louvieris,Brunel University London,https://www.brunel.ac.uk/people/panos-louvieris,aQziTS0AAAAJ,1134.0,18.0
181,Annette M. Payne,Brunel University London,https://www.brunel.ac.uk/people/annette-payne,bLTTMDgAAAAJ,4262.0,33.0
182,Cigdem Sengul,Brunel University London,https://www.brunel.ac.uk/people/cigdem-sengul,dvmxdpEAAAAJ,1363.0,19.0
183,Peter Hertling,Bundeswehr University Munich,https://www.unibw.de/timor/mitarbeiter/hertling/univ-prof-dr-peter-hertling,,,
184,Florian Alt,Bundeswehr University Munich,https://www.unibw.de/usable-security-and-privacy/team/univ-prof-dr-florian-alt,wf3Muy8AAAAJ,6995.0,44.0
185,Helmut Mayer,Bundeswehr University Munich,https://www.unibw.de/inf4/mitarbeiter/univ-prof-dr-ing-helmut-mayer,f_n9lOIAAAAJ,5026.0,33.0
186,Mark Minas,Bundeswehr University Munich,https://www.unibw.de/inf2/personen/professoren/minas,,,
187,Wolfgang Hommel,Bundeswehr University Munich,https://www.unibw.de/inf2/personen/professoren/hommel,LCsesngAAAAJ,588.0,12.0
188,Stefan Brunthaler,Bundeswehr University Munich,https://www.unibw.de/systemsicherheit/univ-prof-dr-stefan-brunthaler,8PPYUEQAAAAJ,2470.0,19.0
189,Stefan Pickl,Bundeswehr University Munich,https://www.unibw.de/comtessa,,,
190,Arno Rüdiger Wacker,Bundeswehr University Munich,https://www.unibw.de/anwendungssicherheit/univ-prof-dr-arno-wacker,zq79YP0AAAAJ,978.0,16.0
191,Uwe M. Borghoff,Bundeswehr University Munich,https://www.unibw.de/inf2/personen/professoren/borghoff,Xn-P8FwAAAAJ,3097.0,23.0
192,Andreas Karcher,Bundeswehr University Munich,https://www.unibw.de/ia,,,
193,Ulrike Lechner,Bundeswehr University Munich,https://www.unibw.de/wirtschaftsinformatik,OzCAdaMAAAAJ,1843.0,19.0
194,Markus Siegle,Bundeswehr University Munich,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/siegle/entwurf-von-rechen-und-kommunikationssystemen,Sdh-toEAAAAJ,1773.0,20.0
