,Name,University,id
131,Richard J. Lipton,Georgia Institute of Technology,f8B4yewAAAAJ
132,Lauren Wilcox,Georgia Institute of Technology,Y2HTFXAAAAAJ
133,Seth A. Hutchinson,Georgia Institute of Technology,#NAME?
134,Raj Sunderraman,Georgia State University,pXsiqKwAAAAJ
135,Ina Koch,Goethe University Frankfurt,cRzjNyIAAAAJ
136,Volker Lindenstruth,Goethe University Frankfurt,#NAME?
137,Jamie A. Ward,Goldsmiths University of London,#NAME?
138,Franz Leberl,Graz University of Technology,#NAME?
139,Maxim A. Babenko,HSE University,mUrnIsUAAAAJ
140,M. V. Rakhuba,HSE University,#NAME?
141,Hanhua Chen,HUST,NO SCHOLAR PAGE
142,Dan Feng,HUST,g57OG4QAAAAJ
143,Murat Aydos,Hacettepe University,pzer348AAAAJ
144,Jinseek Choi,Hanyang University,PTsbMiAAAAAJ
145,Muyun Yang,Harbin Institute of Technology,#NAME?
146,Jianghong Ma,Harbin Institute of Technology,9ZQQqasAAAAJ
147,Zhiming Xu,Harbin Institute of Technology,CN-BV75DV7J
148,Yu Zhang,Harbin Institute of Technology,HmQlB2UAAAAJ
149,David D. Cox,Harvard University,Pb5mcIYAAAAJ
150,Michael D. Smith,Harvard University,rzPlMfQAAAAJ
151,Boaz Barak,Harvard University,XGiiygQAAAAJ
152,Salil P. Vadhan,Harvard University,37frPb8AAAAJ
153,Minlan Yu,Harvard University,K1cZ7SsAAAAJ
154,Hanspeter Pfister,Harvard University,tvBEoaMAAAAJ
155,Michael O. Rabin,Harvard University,EFZyUcEAAAAJ
156,Ari Rappoport,Hebrew University of Jerusalem,dNDnP3QAAAAJ
157,Ekaterina Komendantskaya,Heriot-Watt University,#NAME?
158,Chugui Xu,Hunan University,PBMjN_0AAAAJ
159,Peng Peng,Hunan University,#NAME?
160,Jiliang Zhang,Hunan University,wSGt-ccAAAAJ
161,Srinath R. Naidu,IIIT Bangalore,eJOK4wwAAAAJ
162,Arun Balaji Buduru,IIIT Delhi,sSZczN4AAAAJ
163,Amarjeet Singh,IIIT Delhi,cZhWKd0AAAAJ
164,Kamal Karlapalem,IIIT Hyderabad,bEZqpLsAAAAJ
165,Hari Prabhat Gupta,IIT (BHU) Varanasi,KrMWWjUAAAAJ
166,Anil Kumar Tripathi,IIT (BHU) Varanasi,MeBbV48AAAAJ
167,Sukomal Pal,IIT (BHU) Varanasi,Tn9_Ma4AAAAJ
168,Debi Prosad Dogra,IIT Bhubaneswar,e7AbmE8AAAAJ
169,Biswabandan Panda,IIT Bombay,ZGZkHzcAAAAJ 
170,Om P. Damani,IIT Bombay,lcRCUawAAAAJ
171,G. Sivakumar,IIT Bombay,gqHcbCkAAAAJ
172,Srikanta Bedathur,IIT Delhi,e7Qs3JgAAAAJ
173,Subodh Sharma,IIT Delhi,BXmyJ6QAAAAJ
174,Sorav Bansal,IIT Delhi,TqGZtpoAAAAJ
175,Ragesh Jaiswal,IIT Delhi,hrbj92oAAAAJ
176,Mayank Singh,IIT Gandhinagar,FOjZrQcAAAAJ
177,Sudakshina Dutta,IIT Goa,sijfhHoAAAAJ
178,A. Antony Franklin,IIT Hyderabad,LVfqLuoAAAAJ
179,Rogers Mathew,IIT Hyderabad,#NAME?
180,Manish Singh,IIT Hyderabad,I1jX5vgAAAAJ
181,Narendra S. Chaudhari,IIT Indore,EtGuf04AAAAJ
182,Surya Prakash,IIT Indore,6_PF2KEAAAAJ
183,Gourinath Banda,IIT Indore,k5nOs00AAAAJ
184,Abhishek Srivastava,IIT Indore,8DUQgIIAAAAJ
185,Venkataramana Badarla,IIT Jodhpur,r8QoCG4AAAAJ
186,Mayank Vatsa,IIT Jodhpur,#NAME?
187,Indranil Sengupta,IIT Kharagpur,1IIL5HUAAAAJ
188,Krishna M. Sivalingam,IIT Madras,aQVHUU8AAAAJ
189,Subashish Datta,IIT Mandi,dyRc_BIAAAAJ
190,Padmanabhan Rajan,IIT Mandi,3sZ-nzAAAAAJ
191,Manoj Misra,IIT Roorkee,EwxWd40AAAAJ
192,Sujata Pal,IIT Ropar,9gcmeKwAAAAJ
193,Pedro Moreno-Sanchez,IMDEA Software Institute,#NAME?
194,Herbert Edelsbrunner,IST Austria,w0PeAfAAAAAJ
195,Martin Loose,IST Austria,7or52IsAAAAJ
196,Nicholas H. Barton,IST Austria,LcuOHRwAAAAJ
197,Snehasis Mukhopadhyay,IUPUI,HW1_VNwAAAAJ
198,Sayed Vahid Azhari,IUST,#NAME?
199,Dong Jin,Illinois Institute of Technology,#NAME?
