Name,affiliation,homepage,scholar-id,citations,h-index
Matt Blaze,Georgetown University,http://www.crypto.com,,,
Richard Squier,Georgetown University,http://explore.georgetown.edu/people/squier,TsnIyVQAAAAJ,1608.0,14.0
Wenchao Zhou,Georgetown University,http://people.cs.georgetown.edu/~wzhou,4J1s3noAAAAJ,3904.0,26.0
Alexander Golovnev,Georgetown University,https://golovnev.org,zA9SpgkAAAAJ,500.0,13.0
J. Montgomery,Georgetown University,http://explore.georgetown.edu/people/jm985,XQYNoekAAAAJ,90207.0,64.0
Marcus A. Maloof,Georgetown University,http://people.cs.georgetown.edu/~maloof,,,
Richard Fujimoto,Georgia Institute of Technology,http://www.cc.gatech.edu/~fujimoto,q1bkP7AAAAAJ,18618.0,61.0
Qirun Zhang,Georgia Institute of Technology,http://helloqirun.github.io,u0TKjhIAAAAJ,494.0,11.0
Felix J. Herrmann,Georgia Institute of Technology,http://www.slim.eos.ubc.ca,hw23CTQAAAAJ,8308.0,44.0
Brendan Saltaformaggio,Georgia Institute of Technology,https://saltaformaggio.ece.gatech.edu,1GsJvtwAAAAJ,827.0,17.0
Beth Mynatt,Georgia Institute of Technology,http://ipat.gatech.edu/people/beth-mynatt,l7nsfT4AAAAJ,18394.0,62.0
Hyesoon Kim,Georgia Institute of Technology,http://www.cc.gatech.edu/~hyesoon,7OvZhQIAAAAJ,6948.0,39.0
Elizabeth Cherry,Georgia Institute of Technology,https://cse.gatech.edu/people/elizabeth-cherry,E6h84HUAAAAJ,5273.0,27.0
Dana Randall,Georgia Institute of Technology,http://people.math.gatech.edu/~randall,6wCEmNYAAAAJ,2020.0,25.0
Hongyuan Zha,Georgia Institute of Technology,http://www.cc.gatech.edu/~zha,n1DQMIsAAAAJ,28912.0,84.0
H. Venkateswaran,Georgia Institute of Technology,http://www.cc.gatech.edu/~venkat,,,
Santosh S. Vempala,Georgia Institute of Technology,http://www.cc.gatech.edu/~vempala,hRggMmIAAAAJ,18757.0,64.0
Greg Turk,Georgia Institute of Technology,http://www.cc.gatech.edu/~turk,Q_4d9N0AAAAJ,20773.0,58.0
Milos Prvulovic,Georgia Institute of Technology,http://www.cc.gatech.edu/~milos,A_j_baAAAAAJ,4820.0,32.0
Umakishore Ramachandran,Georgia Institute of Technology,http://www.cc.gatech.edu/~rama,J1tqbNAAAAAJ,5736.0,38.0
Mustaque Ahamad,Georgia Institute of Technology,http://www.cc.gatech.edu/~mustaq,xkCYK58AAAAJ,8464.0,44.0
Edward Omiecinski,Georgia Institute of Technology,http://www.cc.gatech.edu/~edwardo,,,
Seymour E. Goodman,Georgia Institute of Technology,http://www.iac.gatech.edu/people/faculty/goodman,,,
Ling Liu,Georgia Institute of Technology,http://www.cc.gatech.edu/~lingliu,VIwtdckAAAAJ,30730.0,77.0
Blair MacIntyre,Georgia Institute of Technology,https://blairmacintyre.me,UA3tyKwAAAAJ,16671.0,47.0
W. Keith Edwards,Georgia Institute of Technology,http://www.cc.gatech.edu/~keith,QYqwwwcAAAAJ,14371.0,62.0
John T. Stasko,Georgia Institute of Technology,http://www.cc.gatech.edu/~john.stasko,2PxFftgAAAAJ,23515.0,72.0
Jarek Rossignac,Georgia Institute of Technology,http://www.cc.gatech.edu/~jarek,Q3KRC5gAAAAJ,14576.0,57.0
Tucker Balch,Georgia Institute of Technology,http://www.cc.gatech.edu/home/tucker,jM1cT4QAAAAJ,14722.0,46.0
James Hays,Georgia Institute of Technology,http://www.cc.gatech.edu/~hays,vjZrDKQAAAAJ,40440.0,48.0
Concettina Guerra,Georgia Institute of Technology,http://www.cc.gatech.edu/~guerra,,,
Srinivas Aluru,Georgia Institute of Technology,http://www.cc.gatech.edu/~saluru,YOGOScoAAAAJ,12179.0,45.0
Haesun Park,Georgia Institute of Technology,http://www.cc.gatech.edu/~hpark,G6kA1CMAAAAJ,17287.0,66.0
Ronald C. Arkin,Georgia Institute of Technology,http://www.cc.gatech.edu/home/arkin,WSN7T_YAAAAJ,25412.0,62.0
Alessandro Orso,Georgia Institute of Technology,http://www.cc.gatech.edu/home/orso,wCfYkMkAAAAJ,12985.0,59.0
T. E. Starner,Georgia Institute of Technology,http://www.cc.gatech.edu/home/thad,qr8Vo9IAAAAJ,36941.0,83.0
Andrea Lockerd,Georgia Institute of Technology,http://www.cc.gatech.edu/~athomaz,jIs-Y2gAAAAJ,6563.0,41.0
Vlad Kolesnikov,Georgia Institute of Technology,https://www.scs.gatech.edu/people/vladimir-kolesnikov,1vwuDM4AAAAJ,5242.0,33.0
Irfan A. Essa,Georgia Institute of Technology,http://prof.irfanessa.com,XM97iScAAAAJ,20753.0,66.0
Alexander G. Gray,Georgia Institute of Technology,http://www.cs.cmu.edu/~agray,M3VZmxIAAAAJ,4006.0,11.0
Xiuwei Zhang,Georgia Institute of Technology,https://www.cc.gatech.edu/~xzhang954,8n-iVhwAAAAJ,1399.0,10.0
Xu Chu,Georgia Institute of Technology,https://www.cc.gatech.edu/~xchu33,RqkqRnUAAAAJ,2504.0,19.0
Sonia Chernova,Georgia Institute of Technology,http://www.cc.gatech.edu/~chernova,EYo_WkEAAAAJ,7621.0,33.0
Jun (Jim) Xu,Georgia Institute of Technology,http://www.cc.gatech.edu/~jx,mHwonDEAAAAJ,6803.0,38.0
Wei Xu,Georgia Institute of Technology,https://cocoxu.github.io,BfOdG-oAAAAJ,2633.0,23.0
