,name,affiliation,homepage,scholar_id,citations,h-index
73,Aaron Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,706.0,11.0
74,Aaron Quigley,UNSW,https://aquigley.host.cs.st-andrews.ac.uk,LujyjYoAAAAJ,3441.0,30.0
75,Aaron Roth 0001,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,14207.0,49.0
76,Aaron Schulman,Univ. of California - San Diego,http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ,1523.0,18.0
77,Aaron Sidford,Stanford University,http://www.aaronsidford.com,SWqd2rgAAAAJ,4974.0,36.0
78,Aaron Steven White,University of Rochester,http://aaronstevenwhite.io,R-ZVWNEAAAAJ,814.0,14.0
79,Aaron Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,3265.0,31.0
80,Aaron Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ,4426.0,27.0
81,Aaron Visaggio,University of Sannio,https://www.unisannio.it/it/users/corrado-aaron-visaggio,bNMLhsIAAAAJ,4129.0,36.0
82,Aart Middeldorp,University of Innsbruck,http://cl-informatik.uibk.ac.at/users/ami,R9MO_3AAAAAJ,4246.0,36.0
83,Aarti Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ,9521.0,49.0
84,Aarti Sathyanarayana,Northeastern University,https://www.aartisathyanarayana.org,gIvDmmEAAAAJ,306.0,6.0
85,Aarti Singh,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ,5747.0,26.0
86,Aasa Feragen,DTU,http://www2.compute.dtu.dk/~afhar,MNDVpoUAAAAJ,958.0,16.0
87,Aasheesh Kolli,Pennsylvania State University,https://aasheeshkolli.com,UcfzOQYAAAAJ,1435.0,17.0
88,Aastha Mehta,University of British Columbia,https://aasthakm.github.io,l1jObzoAAAAJ,603.0,5.0
89,Abbas Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,KP1AXgwAAAAJ,2930.0,24.0
90,Abbas Heydarnoori,Sharif University of Technology,http://sharif.edu/~heydarnoori,s5vgK3kAAAAJ,1473.0,13.0
91,Abbe Mowshowitz,CUNY,https://www.ccny.cuny.edu/profiles/abbe-mowshowitz,KwmExSIAAAAJ,5554.0,30.0
92,Abbes Amira,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abbes.php,yp_wQZMAAAAJ,5634.0,37.0
93,Abdallah Saffidine,UNSW,http://www.cse.unsw.edu.au/~abdallahs,yWzT7LAAAAAJ,780.0,16.0
94,Abdel Latif Abu Dalhoum,University of Jordan,http://eacademic.ju.edu.jo/a.latif,zXiv9G8AAAAJ,486.0,12.0
95,AbdelRahman Abdou,Carleton University,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ,262.0,10.0
96,Abdelaziz Bouras,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdelaziz_bouras.php,QKaJ_JgAAAAJ,4355.0,25.0
97,Abdelfattah Amamra,University of Connecticut,http://www.cse.uconn.edu/people/faculty,cXl_OFIAAAAJ,136.0,7.0
98,Abdelhakim Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE,,
99,Abdelhakim Senhaji Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE,,
100,Abdelkarim Erradi,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/erradi.php,2VhGiuAAAAAJ,2145.0,26.0
101,Abdelmounaam Rezgui,New Mexico Tech,http://nmt.edu/academics/compsci/faculty/arezgui.php,QUuC8lAAAAAJ,1676.0,18.0
102,Abdelsalam Helal,University of Florida,http://www.cise.ufl.edu/~helal,NOSCHOLARPAGE,,
103,Abdeslam Boularias,Rutgers University,http://www.abdeslam.net,8AF3RCsAAAAJ,1401.0,21.0
104,Abdol-Hossein Esfahanian,Michigan State University,http://www.cse.msu.edu/~esfahani,NOSCHOLARPAGE,,
105,Abdolreza Abhari,Ryerson University,https://www.scs.ryerson.ca/~aabhari,V8hkFhcAAAAJ,757.0,12.0
106,Abdou S. Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,NOSCHOLARPAGE,,
107,Abdou Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,NOSCHOLARPAGE,,
108,Abdul Mohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ,527.0,10.0
109,Abdul Serwadda,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,0YfFzzUAAAAJ,1025.0,16.0
110,Abdulaziz Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,S42RixYAAAAJ,9546.0,47.0
111,Abdulhakim Qahtan,Utrecht University,https://www.uu.nl/staff/AAAQahtan,8eKzXa8AAAAJ,417.0,10.0
112,Abdulla K. Al-Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,s1LawbAAAAAJ,1478.0,18.0
113,Abdullah Algarni,King Abdulaziz University,https://www.facebook.com/public/Abdullah-Algarni/school/King-Abdulaziz-University-103095679730320,fQldSpoAAAAJ,436.0,11.0
114,Abdullah Basuhail,King Abdulaziz University,http://abasuhail.kau.edu.sa/Default.aspx?Site_ID=0012375&lng=EN,NOSCHOLARPAGE,,
115,Abdullah Ercument Cicek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ,5887.0,19.0
116,Abdullah Mueen,University of New Mexico,http://www.cs.unm.edu/~mueen,OImDWloAAAAJ,7783.0,32.0
117,Abdullah Muzahid,Texas A&M University,http://people.tamu.edu/~abdullah.muzahid/index.html,hN7mpGMAAAAJ,429.0,9.0
118,Abdullah Uz Tansel,CUNY,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Abdullah-Uz-Tansel,emeq3i8AAAAJ,3736.0,20.0
119,Abdulmohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ,527.0,10.0
120,Abdulmotaleb El-Saddik,MBZUAI,http://www.site.uottawa.ca/~elsaddik,VcOjgngAAAAJ,16775.0,58.0
121,Abe Davis,Cornell University,http://abedavis.com,Gp8ghkAAAAJ,,
122,Abedelaziz Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,5455.0,41.0
123,Abhi Shelat,Northeastern University,https://shelat.khoury.neu.edu,Te94nKAAAAAJ,6083.0,38.0
124,Abhijeet Ghosh,Imperial College London,http://www.doc.ic.ac.uk/~ghosh,EG_UZvwAAAAJ,3261.0,28.0
125,Abhijit Das 0004,IIT Kharagpur,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ,5771.0,27.0
126,Abhijit Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ,5120.0,33.0
127,Abhijit S. Pandya,Florida Atlantic University,http://pire.fiu.edu/faculty/Dr_Pandya.php,NOSCHOLARPAGE,,
128,Abhik Roychoudhury,National University of Singapore,https://www.comp.nus.edu.sg/~abhik,UxFWSJIAAAAJ,9691.0,54.0
129,Abhilash Jindal,IIT Delhi,http://abhilash-jindal.com,_af8suQAAAAJ,946.0,10.0
130,Abhinav Bhatele,University of Maryland - College Park,http://www.cs.umd.edu/~bhatele,3x65qtwAAAAJ,3869.0,37.0
131,Abhinav Dhall,IIT Ropar,http://www.iitrpr.ac.in/cse/abhinavdhall,ypusncAAAAAJ,4508.0,32.0
