,name,affiliation,homepage,scholar_id,citations,h-index
84,Akane Sano,Rice University,http://akane.sano.web.rice.edu,cNLW5O4AAAAJ,4486.0,35.0
85,Mary Inaba,University of Tokyo,http://akashi.ci.i.u-tokyo.ac.jp/mary/index-e.html,NOSCHOLARPAGE,,
86,Anastasios Kyrillidis,Rice University,http://akyrillidis.github.io,TEGzkZMAAAAJ,1776.0,23.0
87,Joseph Austerweil,University of Wisconsin - Madison,http://alab.psych.wisc.edu,Jrn-jxQAAAAJ,1592.0,23.0
88,P. V. Skums,Georgia State University,http://alan.cs.gsu.edu/compbel,h5ZxsFAAAAAJ,1574.0,19.0
89,Alessio Guglielmi,University of Bath,http://alessio.guglielmi.name,1fq1YrMAAAAJ,1246.0,16.0
90,Alexander Lex,University of Utah,http://alexander-lex.net,JFNLCUcAAAAJ,4195.0,24.0
91,Alexis Hiniker,University of Washington,http://alexishiniker.com,tY-tZTkAAAAJ,1728.0,22.0
92,Pascal Schweitzer,TU Kaiserslautern,http://alg.informatik.uni-kl.de/team/schweitzer,NOSCHOLARPAGE,,
93,Martin Hoefer 0001,Goethe University Frankfurt,http://algo.cs.uni-frankfurt.de/~mhoefer,PBCXFY8AAAAJ,3542.0,26.0
94,Michael Kaufmann 0001,University of Tübingen,http://algo.inf.uni-tuebingen.de/?site=mitarbeiter/michaelkaufmann/index,FTx_BNsAAAAJ,8079.0,45.0
95,Antoine Vigneron,UNIST,http://algo.unist.ac.kr,MIqVnpwAAAAJ,989.0,17.0
96,Sung-Bong Yang,Yonsei University,http://algo.yonsei.ac.kr/Member.html,bFAJLcMAAAAJ,1097.0,16.0
97,Peter Sanders 0001,Karlsruhe Institute of Technology,http://algo2.iti.kit.edu/sanders.php,0xWltyAAAAAJ,19152.0,70.0
98,Przemyslaw Prusinkiewicz,University of Calgary,http://algorithmicbotany.org,pjH7e8IAAAAJ,22097.0,69.0
99,José C. Monteiro,Universidade de Lisboa,http://algos.inesc-id.pt/~jcm,tkeh3OAAAAAJ,3275.0,25.0
100,Luís Guerra e Silva,Universidade de Lisboa,http://algos.inesc-id.pt/~lgs,4HUmvlUAAAAJ,305.0,9.0
101,L. Miguel Silveira,Universidade de Lisboa,http://algos.inesc-id.pt/~lms,NOSCHOLARPAGE,,
102,Reda Alhajj,University of Calgary,http://alhajj.cpsc.ucalgary.ca,NOSCHOLARPAGE,,
103,Jinwoo Shin,KAIST,http://alinlab.kaist.ac.kr/shin.html,m3eDp7kAAAAJ,4899.0,35.0
104,Amin Alipour,University of Houston,http://alipourm.github.io,hwlkAZYAAAAJ,995.0,19.0
105,Allan Hanbury,TU Wien,http://allan.hanbury.eu/doku.php,_hR4cSAAAAAJ,8870.0,44.0
106,Gregory W. Wornell,Massachusetts Institute of Technology,http://allegro.mit.edu/~gww,NOSCHOLARPAGE,,
107,Andrew Lo,Massachusetts Institute of Technology,http://alo.mit.edu,4M-iGXMAAAAJ,191.0,7.0
108,Adam Lopez,University of Edinburgh,http://alopez.github.io,u4sxKZwAAAAJ,2862.0,27.0
109,Hwa-Chun Lin,National Tsing Hua University,http://alpha5.cs.nthu.edu.tw/labweb/advisor.html,NOSCHOLARPAGE,,
110,Andrea Bianchi,KAIST,http://alsoplantsfly.com,wVDtZB0AAAAJ,1276.0,20.0
111,Manuel E. Lladser,University of Colorado Boulder,http://amath.colorado.edu/faculty/lladser,Uv6cAEMAAAAJ,2494.0,12.0
112,Amiangshu Bosu,Wayne State University,http://amiangshu.com,kIrGUa8AAAAJ,,
113,Amit Chattopadhyay,IIIT Bangalore,http://amitchattopadhyay.weebly.com,sooauB0AAAAJ,2402.0,29.0
114,Amit Daniely,Hebrew University of Jerusalem,http://amitdaniely.com,jUtYwE0AAAAJ,1560.0,19.0
115,Amit Zoran,Hebrew University of Jerusalem,http://amitz.co,NOSCHOLARPAGE,,
116,Amy Voida,University of Colorado Boulder,http://amy.voida.com,J2FI8YoAAAAJ,2720.0,27.0
117,Sue B. Moon,KAIST,http://an.kaist.ac.kr/~sbmoon,d5u7NnAAAAAJ,22709.0,43.0
118,Michael A. Rappa,North Carolina State University,http://analytics.ncsu.edu/?page_id=7,NOSCHOLARPAGE,,
119,Andrei Popescu 0001,Middlesex University,http://andreipopescu.uk,nxOkXN0AAAAJ,1776.0,23.0
120,Andrew T. Duchowski,Clemson University,http://andrewd.ces.clemson.edu,J_oQ4-oAAAAJ,,
121,Andrew Owens,University of Michigan,http://andrewowens.com,9hX-JksAAAAJ,3968.0,19.0
122,Anduo Wang,Temple University,http://anduowang.github.io,G0TbvLAAAAAJ,352.0,9.0
123,Angus G. Forbes,Univ. of California - Santa Cruz,http://angusforbes.com,_h642WsAAAAJ,1252.0,18.0
124,Animesh Garg,University of Toronto,http://animesh.garg.tech,zp8V7ZMAAAAJ,3234.0,29.0
125,Anna Fensel,University of Innsbruck,http://anna.fensel.com,R73gJDcAAAAJ,1771.0,24.0
126,Anna Levina,University of Tübingen,http://anna.hronopik.de,KJSnbQoAAAAJ,1310.0,13.0
127,Anna Maria Feit,Saarland University,http://annafeit.de,4ZajJ0QAAAAJ,894.0,12.0
128,Amin Y. Noaman,King Abdulaziz University,http://anoaman.kau.edu.sa/CVEn.aspx?Site_ID=0002639&Lng=EN,btssDVcAAAAJ,,
129,Antal van den Bosch,Radboud University,http://antalvandenbosch.ruhosting.nl,LCuzJyYAAAAJ,9483.0,41.0
130,Antonio Toral,University of Groningen,http://antoniotor.al,YcdNfhcAAAAJ,2486.0,25.0
131,Anurag Khandelwal,Yale University,http://anuragkhandelwal.com,LlfHFqUAAAAJ,720.0,9.0
132,Charles M. Eastman,Georgia Institute of Technology,http://arch.gatech.edu/charles-eastman,NOSCHOLARPAGE,,
133,Gyungho Lee,Korea University,http://arch.korea.ac.kr,NOSCHOLARPAGE,,
134,Sang Lyul Min,Seoul National University,http://archi.snu.ac.kr/symin,U4ewRr0AAAAJ,7944.0,40.0
135,Anne Koziolek,Karlsruhe Institute of Technology,http://are.ipd.kit.edu/people/anne_koziolek,ndibIWYAAAAJ,2640.0,25.0
136,K. Selçuk Candan,Arizona State University,http://aria.asu.edu/candan,keO-0s0AAAAJ,7806.0,40.0
137,Dan Ophir,Ariel University,http://ariel.academia.edu/DanOphir,NOSCHOLARPAGE,,
138,Vadim E. Levit,Ariel University,http://ariel.academia.edu/VadimLevit,iAIwEeAAAAAJ,1620.0,21.0
139,Aris Anagnostopoulos,Sapienza University of Rome,http://aris.me,3fvu4fcAAAAJ,3647.0,26.0
140,Alan Ritter,Georgia Institute of Technology,http://aritter.github.io,unXtH3IAAAAJ,10523.0,31.0
141,Arnab Nandi 0001,Ohio State University,http://arnab.org,OhiNDfkAAAAJ,2080.0,22.0
142,Andrew C. Robb,Clemson University,http://arobb.people.clemson.edu,wkdrAV8AAAAJ,,
143,Aron Laszka,University of Houston,http://aronlaszka.com,ckHkkjgAAAAJ,2536.0,27.0
144,Kunle Olukotun,Stanford University,http://arsenalfc.stanford.edu/kunle,IzXDyR8AAAAJ,22790.0,78.0
145,Arthur Gervais,Imperial College London,http://arthurgervais.com,jLr_xi4AAAAJ,5208.0,21.0
146,Jia Li 0003,Beihang University,http://arts.buaa.edu.cn/staff/jiali/index.htm,BfWMlE4AAAAJ,5190.0,29.0
147,Tony Kusalik,University of Saskatchewan,http://artsandscience.usask.ca/profile/AKusalik,NOSCHOLARPAGE,,
148,Jim Carter,University of Saskatchewan,http://artsandscience.usask.ca/profile/JCarter,v_YyMagAAAAJ,703.0,10.0
149,Michael Horsch,University of Saskatchewan,http://artsandscience.usask.ca/profile/MHorsch,NOSCHOLARPAGE,,
150,Mark Keil,University of Saskatchewan,http://artsandscience.usask.ca/profile/MKeil,BaMD2NgAAAAJ,24485.0,69.0
151,Arunesh Sinha,Singapore Management University,http://aruneshsinha.net,Iuq3Qv8AAAAJ,2050.0,24.0
152,Immanuel Trummer,Cornell University,http://as.cornell.edu/immanuel-trummer,FJ7im7AAAAAJ,615.0,14.0
153,Ahmad Alzahrani,King Abdulaziz University,http://asalzahrani.kau.edu.sa/Default.aspx?Site_ID=0005199&lng=EN,10GPVtsAAAAJ,227.0,8.0
154,João Leitão 0001,Universidade NOVA de Lisboa,http://asc.di.fct.unl.pt/~jleitao,j1676F4AAAAJ,1501.0,20.0
155,Nuno M. Preguiça,Universidade NOVA de Lisboa,http://asc.di.fct.unl.pt/~nmp,ldiuDWsAAAAJ,4595.0,27.0
156,Pedro D. Medeiros,Universidade NOVA de Lisboa,http://asc.di.fct.unl.pt/~pm,OkXQrOAAAAAJ,169.0,5.0
157,Ali Aydin Selçuk,TOBB ETÜ,http://aselcuk.etu.edu.tr,gobiPJIAAAAJ,1700.0,16.0
158,Yungang Bao,Chinese Academy of Sciences,http://asg.ict.ac.cn/baoyg,F2vVbs8AAAAJ,1545.0,19.0
159,Mingyu Chen 0001,Chinese Academy of Sciences,http://asg.ict.ac.cn/cmy/?page_id=12,_hZiQeUAAAAJ,1924.0,23.0
160,Ashikur Rahman,BUET,http://ashikur.buet.ac.bd,obaBwx4AAAAJ,871.0,15.0
161,Aslan Askarov,Aarhus University,http://askarov.net,VV78_dMAAAAJ,1855.0,20.0
162,Tim Barfoot,University of Toronto,http://asrl.utias.utoronto.ca/~tdb,N_vPIhoAAAAJ,7571.0,42.0
163,Assaf Schuster,Technion,http://assaf.net.technion.ac.il,KfwgjswAAAAJ,9284.0,55.0
164,Asterios Katsifodimos,TU Delft,http://asterios.katsifodimos.com,1KdkcSoAAAAJ,2478.0,18.0
165,Gerhard Heyer,University of Leipzig,http://asv.informatik.uni-leipzig.de/staff/Gerhard_Heyer,i_RcqLwAAAAJ,2450.0,22.0
166,Travis Atkison,The University of Alabama,http://atkison.cs.ua.edu,NOSCHOLARPAGE,,
167,Marianne Graves Petersen,Aarhus University,http://au.dk/en/mgraves@cs,vgP6E1oAAAAJ,2392.0,23.0
168,Morten Kyng,Aarhus University,http://au.dk/en/mkyng@cs,geVags8AAAAJ,13125.0,34.0
169,Ole Caprani,Aarhus University,http://au.dk/en/ocaprani@cs,r1ysNr0AAAAJ,530.0,13.0
170,Olav Bertelsen,Aarhus University,http://au.dk/en/olavb@cs,Ydi4uSMAAAAJ,1664.0,20.0
