,name,homepage,scholar_id,affiliation,citations,h-index
48,Aamir Cheema,http://www.aamircheema.com,chWbG70AAAAJ,Monash University,1805.0,25.0
49,Aanjhan Ranganathan,https://www.aanjhan.com,Jid_EAkAAAAJ,Northeastern University,744.0,14.0
50,Aapo Hyvärinen,https://www.cs.helsinki.fi/u/ahyvarin,UnrY-40AAAAJ,University of Helsinki,59435.0,65.0
51,Aarne Ranta,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,NOSCHOLARPAGE,Chalmers/GU,,
52,Aaron Bernstein,http://bernsteinaaron.com,N94spO0AAAAJ,Rutgers University,1191.0,21.0
53,Aaron Bobick,https://www.cc.gatech.edu/~afb,rynvwScAAAAJ,Washington University in St. Louis,23412.0,62.0
54,Aaron C. Courville,https://aaroncourville.wordpress.com,km6CP8cAAAAJ,University of Montreal,155890.0,84.0
55,Aaron Clauset,https://www.colorado.edu/faculty/clauset,e7VI_HcAAAAJ,University of Colorado Boulder,31144.0,47.0
56,Aaron D. Striegel,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,University of Notre Dame,3265.0,31.0
57,Aaron Harwood,http://people.eng.unimelb.edu.au/aharwood,3jf-G0YAAAAJ,University of Melbourne,1949.0,23.0
58,Aaron Henry Potechin,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,University of Chicago,706.0,11.0
59,Aaron J. Elmore,http://people.cs.uchicago.edu/~aelmore,NOSCHOLARPAGE,University of Chicago,,
60,Aaron J. Quigley,https://aquigley.host.cs.st-andrews.ac.uk,LujyjYoAAAAJ,UNSW,3441.0,30.0
61,Aaron Leon Roth,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,University of Pennsylvania,14207.0,49.0
62,Aaron M. Dollar,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,Yale University,12790.0,55.0
63,Aaron McFadyen,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ,Queensland University of Technology,524.0,14.0
64,Aaron Schulman,http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ,Univ. of California - San Diego,1523.0,18.0
65,Aaron Sidford,http://www.aaronsidford.com,SWqd2rgAAAAJ,Stanford University,4974.0,36.0
66,Aaron Steven White,http://aaronstevenwhite.io,R-ZVWNEAAAAJ,University of Rochester,814.0,14.0
67,Aaron Stump,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ,University of Iowa,4426.0,27.0
68,Aaron Visaggio,https://www.unisannio.it/it/users/corrado-aaron-visaggio,bNMLhsIAAAAJ,University of Sannio,4129.0,36.0
69,Aart Middeldorp,http://cl-informatik.uibk.ac.at/users/ami,R9MO_3AAAAAJ,University of Innsbruck,4246.0,36.0
70,Aarti Gupta,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ,Princeton University,9521.0,49.0
71,Aarti Sathyanarayana,https://www.aartisathyanarayana.org,gIvDmmEAAAAJ,Northeastern University,306.0,6.0
72,Aarti Singh,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ,Carnegie Mellon University,5747.0,26.0
73,Aasa Feragen,http://www2.compute.dtu.dk/~afhar,MNDVpoUAAAAJ,DTU,958.0,16.0
74,Aasheesh Kolli,https://aasheeshkolli.com,UcfzOQYAAAAJ,Pennsylvania State University,1435.0,17.0
75,Aastha Mehta,https://aasthakm.github.io,l1jObzoAAAAJ,University of British Columbia,603.0,5.0
76,Abbas Edalat,https://www.doc.ic.ac.uk/~ae,KP1AXgwAAAAJ,Imperial College London,2930.0,24.0
77,Abbas Heydarnoori,http://sharif.edu/~heydarnoori,s5vgK3kAAAAJ,Sharif University of Technology,1473.0,13.0
78,Abbe Mowshowitz,https://www.ccny.cuny.edu/profiles/abbe-mowshowitz,KwmExSIAAAAJ,CUNY,5554.0,30.0
79,Abbes Amira,http://www.qu.edu.qa/engineering/computer/faculty/abbes.php,yp_wQZMAAAAJ,Qatar University,5634.0,37.0
80,Abdallah Saffidine,http://www.cse.unsw.edu.au/~abdallahs,yWzT7LAAAAAJ,UNSW,780.0,16.0
81,Abdel Latif Abu Dalhoum,http://eacademic.ju.edu.jo/a.latif,zXiv9G8AAAAJ,University of Jordan,486.0,12.0
82,AbdelRahman Abdou,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ,Carleton University,262.0,10.0
83,Abdelaziz Bouras,http://www.qu.edu.qa/engineering/computer/faculty/abdelaziz_bouras.php,QKaJ_JgAAAAJ,Qatar University,4355.0,25.0
84,Abdelfattah Amamra,http://www.cse.uconn.edu/people/faculty,cXl_OFIAAAAJ,University of Connecticut,136.0,7.0
85,Abdelhakim Hafid,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE,University of Montreal,,
86,Abdelkarim Erradi,http://www.qu.edu.qa/engineering/computer/faculty/erradi.php,2VhGiuAAAAAJ,Qatar University,2145.0,26.0
87,Abdelmounaam Rezgui,http://nmt.edu/academics/compsci/faculty/arezgui.php,QUuC8lAAAAAJ,New Mexico Tech,1676.0,18.0
88,Abdelsalam Helal,http://www.cise.ufl.edu/~helal,NOSCHOLARPAGE,University of Florida,,
89,Abdeslam Boularias,http://www.abdeslam.net,8AF3RCsAAAAJ,Rutgers University,1401.0,21.0
90,Abdol-Hossein Esfahanian,http://www.cse.msu.edu/~esfahani,NOSCHOLARPAGE,Michigan State University,,
91,Abdolreza Abhari,https://www.scs.ryerson.ca/~aabhari,V8hkFhcAAAAJ,Ryerson University,757.0,12.0
92,Abdou S. Youssef,https://www.seas.gwu.edu/~ayoussef,NOSCHOLARPAGE,George Washington University,,
93,Abdul Mohsen Almalawi,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ,King Abdulaziz University,527.0,10.0
94,Abdul Serwadda,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,0YfFzzUAAAAJ,Texas Tech University,1025.0,16.0
95,Abdulaziz Ali,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,S42RixYAAAAJ,Qatar University,9546.0,47.0
96,Abdulhakim Qahtan,https://www.uu.nl/staff/AAAQahtan,8eKzXa8AAAAJ,Utrecht University,417.0,10.0
97,Abdulla K. Al-Ali,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,s1LawbAAAAAJ,Qatar University,1478.0,18.0
98,Abdullah Algarni,https://www.facebook.com/public/Abdullah-Algarni/school/King-Abdulaziz-University-103095679730320,fQldSpoAAAAJ,King Abdulaziz University,436.0,11.0
99,Abdullah Basuhail,http://abasuhail.kau.edu.sa/Default.aspx?Site_ID=0012375&lng=EN,NOSCHOLARPAGE,King Abdulaziz University,,
100,Abdullah Mueen,http://www.cs.unm.edu/~mueen,OImDWloAAAAJ,University of New Mexico,7783.0,32.0
101,Abdullah Muzahid,http://people.tamu.edu/~abdullah.muzahid/index.html,hN7mpGMAAAAJ,Texas A&M University,429.0,9.0
102,Abdullah Uz Tansel,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Abdullah-Uz-Tansel,emeq3i8AAAAJ,CUNY,3736.0,20.0
103,Abdulmotaleb El-Saddik,http://www.site.uottawa.ca/~elsaddik,VcOjgngAAAAJ,MBZUAI,16775.0,58.0
104,Abe Davis,http://abedavis.com,Gp8ghkAAAAJ,Cornell University,,
105,Abedelaziz Mohaisen,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,University of Central Florida,5455.0,41.0
106,Abhi Shelat,https://shelat.khoury.neu.edu,Te94nKAAAAAJ,Northeastern University,6083.0,38.0
107,Abhijeet Ghosh,http://www.doc.ic.ac.uk/~ghosh,EG_UZvwAAAAJ,Imperial College London,3261.0,28.0
108,Abhijit Das,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ,IIT Kharagpur,5771.0,27.0
109,Abhijit Mahalanobis,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ,University of Central Florida,5120.0,33.0
110,Abhijit S. Pandya,http://pire.fiu.edu/faculty/Dr_Pandya.php,NOSCHOLARPAGE,Florida Atlantic University,,
111,Abhik Roychoudhury,https://www.comp.nus.edu.sg/~abhik,UxFWSJIAAAAJ,National University of Singapore,9691.0,54.0
112,Abhilash Jindal,http://abhilash-jindal.com,_af8suQAAAAJ,IIT Delhi,946.0,10.0
113,Abhinav Bhatele,http://www.cs.umd.edu/~bhatele,3x65qtwAAAAJ,University of Maryland - College Park,3869.0,37.0
114,Abhinav Dhall,http://www.iitrpr.ac.in/cse/abhinavdhall,ypusncAAAAAJ,IIT Ropar,4508.0,32.0
115,Abhinav Gupta,http://www.cs.cmu.edu/~abhinavg,NOSCHOLARPAGE,Carnegie Mellon University,,
116,Abhinav Kumar Singh,https://www.ecs.soton.ac.uk/people/aks1a19,tkp3t2gAAAAJ,University of Southampton,1535.0,15.0
117,Abhinav Shrivastava,http://abhinavsh.info,mIF9BowAAAAJ,University of Maryland - College Park,7599.0,21.0
118,Abhir Bhalerao,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,University of Warwick,2144.0,22.0
119,Abhiram G. Ranade,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ,IIT Bombay,2329.0,21.0
120,Abhishek Bhattacharjee,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ,Yale University,2932.0,25.0
121,Abhishek Bichhawat,https://iitgn.ac.in/faculty/cse/abhishek,qJavKW4AAAAJ,IIT Gandhinagar,222.0,6.0
122,Abhishek Chandra,http://www-users.cs.umn.edu/~chandra,hSklLfsAAAAJ,University of Minnesota,4550.0,34.0
123,Abhishek Dubey,https://engineering.vanderbilt.edu/bio/abhishek-dubey,5J3w9OoAAAAJ,Vanderbilt University,3302.0,29.0
124,Abhishek Gupta,https://abhishekunique.github.io,1wLVDP4AAAAJ,University of Washington,4672.0,27.0
125,Abhishek Jain,https://www.cs.jhu.edu/faculty/abhishek-jain,xjkmJsgAAAAJ,Johns Hopkins University,3875.0,30.0
126,Abhishek Kr Singh,https://www.bits-pilani.ac.in/goa/abhishekks/profile,ps296UkAAAAJ,BITS Pilani-Goa,27.0,3.0
127,Abhishek Mishra,http://www.bits-pilani.ac.in/pilani/abhishekmisra/profile,Ayz2rOwAAAAJ,BITS Pilani,1562.0,19.0
128,Abhishek Sarkar,https://www.iiit.ac.in/people/faculty/abhishek.sarkar,SV0gEjQAAAAJ,IIIT Hyderabad,42.0,4.0
129,Abhishek Srivastava,http://cse.iiti.ac.in/faculty.html,8DUQgIIAAAAJ,IIT Indore,,
130,Abhradeep Guha Thakurta,https://aguhatha.github.io,1rV69hMAAAAJ,Univ. of California - Santa Cruz,3995.0,26.0
131,Abilio Lucena,http://www.cos.ufrj.br/index.php/pt-BR/pessoas/details/18/2201-abiliolucena,_YS2DcIAAAAJ,UFRJ,1535.0,21.0
132,Abir Das,http://cse.iitkgp.ac.in/~adas,L4yEk2UAAAAJ,IIT Kharagpur,1978.0,15.0
133,Abolfazl Asudeh,https://asudeh.github.io,cJXIgasAAAAJ,University of Illinois at Chicago,609.0,15.0
134,Abolfazl Razi,https://nau.edu/siccs/faculty/abolfazl-razi,DhwC8gsAAAAJ,Northern Arizona University,1112.0,20.0
135,Abolfazl S. Motahari,http://ce.sharif.edu/faculty/abolfazl-motahari,rJ-biB0AAAAJ,Sharif University of Technology,4142.0,25.0
136,Abraham Bernstein,http://www.ifi.uzh.ch/ddis/people/bernstein.html,ZYNjTykAAAAJ,University of Zurich,12982.0,58.0
137,Abraham Duarte,http://grafo.etsii.urjc.es/group-member/abrahamduarte,wsBEPbYAAAAJ,Universidad Rey Juan Carlos,4134.0,39.0
138,Abraham G. Campbell,https://people.ucd.ie/abey.campbell,TWRYXGMAAAAJ,University College Dublin,486.0,11.0
139,Abraham Silberschatz,http://www.cs.yale.edu/~avi,#NAME?,Yale University,,
140,Abram Hindle,http://softwareprocess.es,vuT1ZlUAAAAJ,University of Alberta,5873.0,40.0
141,Abtin Rahimian,http://home.cs.colorado.edu/~abra3237,2iXwFdsAAAAJ,University of Colorado Boulder,741.0,11.0
142,Abu Asaduzzaman,https://www.wichita.edu/profiles/academics/engineering/ECE/Asaduzzaman-Abu.php,WYv3oSEAAAAJ,Wichita State University,705.0,13.0
143,Abul Kashem,https://cse.buet.ac.bd/faculty_list/detail/kashem,NOSCHOLARPAGE,BUET,,
144,Abusayeed M. Saifullah,https://www.cs.iastate.edu/abu,CYwffSUAAAAJ,Iowa State University,4478.0,29.0
145,Abutalib Aghayev,https://agayev.github.io,Kfb6IZ4AAAAJ,Pennsylvania State University,377.0,8.0
146,Abyayananda Maiti,https://iitp.ac.in/index.php/departments/computer-center/people/head/1095-dr-abyayananda-maiti.html,N49XT94AAAAJ,IIT Patna,123.0,6.0
147,Achi Brandt,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2041,NOSCHOLARPAGE,Weizmann Institute of Science,,
148,Achille Pattavina,http://home.deib.polimi.it/pattavina,NOSCHOLARPAGE,Politecnico di Milano,,
149,Achim Blumensath,https://www.muni.cz/en/people/237782,NOSCHOLARPAGE,Masaryk University,,
150,Achim D. Brucker,http://emps.exeter.ac.uk/computer-science/staff/ab1185,ZWePF1QAAAAJ,University of Exeter,2701.0,29.0
151,Achim Ebert,https://hci.uni-kl.de/people/achim-ebert,tnoNj9gAAAAJ,TU Kaiserslautern,1390.0,19.0
152,Achim Jung,https://www.birmingham.ac.uk/staff/profiles/computer-science/jung-achim.aspx,hCqqihQAAAAJ,University of Birmingham,3401.0,22.0
153,Achim Schweikard,https://www.rob.uni-luebeck.de/index.php?id=321,NOSCHOLARPAGE,University of Lübeck,,
154,Achim Streit,http://www.scc.kit.edu/personen/achim.streit.php,i72A44MAAAAJ,Karlsruhe Institute of Technology,3474.0,28.0
155,Ada Gavrilovska,http://www.cc.gatech.edu/home/ada,OlRjTCIAAAAJ,Georgia Institute of Technology,3372.0,29.0
156,Ada Wai-Chee Fu,http://www.cse.cuhk.edu.hk/~adafu,tcwyqtUAAAAJ,Chinese University of Hong Kong,17146.0,63.0
157,Adalbert Gerald Soosai Raj,https://adalbertgerald.github.io,0TxoLzMAAAAJ,Univ. of California - San Diego,232.0,8.0
158,Adalberto L. Simeone,https://www.adalsimeone.me,NwkRNhkAAAAJ,KU Leuven,933.0,14.0
159,Adam A. Porter,https://www.cs.umd.edu/users/aporter,j7F7yq0AAAAJ,University of Maryland - College Park,,
160,Adam Bargteil,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ,Univ. of Maryland - Baltimore County,2540.0,21.0
161,Adam Bates,http://adambates.org,1dVglBkAAAAJ,Univ. of Illinois at Urbana-Champaign,2199.0,26.0
162,Adam Belay,https://engineering.mit.edu/faculty-research/year-2017,AKQec5wAAAAJ,Massachusetts Institute of Technology,2176.0,15.0
163,Adam Chlipala,http://adam.chlipala.net,Imh0w3AAAAAJ,Massachusetts Institute of Technology,3672.0,29.0
164,Adam Czajka,https://engineering.nd.edu/profiles/aczajka,_OObpEkAAAAJ,University of Notre Dame,1331.0,18.0
165,Adam D. Smith,http://www.cse.psu.edu/~ads22,fkGi-JMAAAAJ,Boston University,21793.0,55.0
166,Adam Doupé,http://adamdoupe.com,hsJqhNAAAAAJ,Arizona State University,2603.0,25.0
167,Adam Finkelstein,https://www.cs.princeton.edu/~af,a959F6AAAAAJ,Princeton University,14790.0,53.0
168,Adam Hahn,http://www.eecs.wsu.edu/~ahahn/index.html,nGBlVWwAAAAJ,Washington State University,5252.0,22.0
169,Adam Herout,https://www.fit.vut.cz/person/herout,qQDbJDMAAAAJ,Brno University of Technology,2359.0,25.0
170,Adam J. Aviv,https://adamaviv.com,ExgxufEAAAAJ,George Washington University,,
171,Adam J. Lee,http://people.cs.pitt.edu/~adamlee,1IoFK0oAAAAJ,University of Pittsburgh,2528.0,25.0
172,Adam Jatowt,https://adammo12.github.io/adamjatowt,l2vn9GoAAAAJ,University of Innsbruck,3781.0,30.0
173,Adam Klivans,https://www.cs.utexas.edu/~klivans,UD87zMYAAAAJ,University of Texas at Austin,3776.0,35.0
174,Adam Krzyzak,http://users.encs.concordia.ca/~krzyzak,fYbg3F8AAAAJ,Concordia University,11682.0,40.0
175,Adam Lopez,http://alopez.github.io,u4sxKZwAAAAJ,University of Edinburgh,2862.0,27.0
176,Adam M. Smith,https://adamsmith.as,78OLNd4AAAAJ,Univ. of California - Santa Cruz,1888.0,21.0
177,Adam Morrison,http://www.cs.tau.ac.il/~mad,GMEoZR0AAAAJ,Tel Aviv University,1285.0,19.0
178,Adam O'Neill,https://www.cics.umass.edu/people/oneill-adam,SIFRrBIAAAAJ,University of Massachusetts Amherst,5197.0,20.0
179,Adam P. Chester,https://warwick.ac.uk/fac/sci/dcs/people/adam_chester,ogEgU6HzEJQC,University of Warwick,125.0,6.0
180,Adam Przepiórkowski,https://ipipan.waw.pl/instytut/pracownicy/adam-przepiorkowski,volQDFMAAAAJ,IPI PAN,4733.0,37.0
181,Adam Prügel-Bennett,https://www.ecs.soton.ac.uk/people/apb1,oQgxYjkAAAAJ,University of Southampton,4827.0,37.0
182,Adam Rogalewicz,https://www.fit.vut.cz/person/rogalew,NOSCHOLARPAGE,Brno University of Technology,,
183,Adam Steele,http://facweb.cs.depaul.edu/asteele,NOSCHOLARPAGE,DePaul University,,
184,Adam Wierman,http://www.cs.caltech.edu/~adamw,4OvOdSgAAAAJ,California Institute of Technology,9528.0,52.0
185,Adam Wolisz,https://www.tkn.tu-berlin.de/menue/team/wolisz/parameter/de,Gq8gWX4AAAAJ,TU Berlin,16537.0,62.0
186,Adams Wai-Kin Kong,http://www.ntu.edu.sg/home/adamskong,NOSCHOLARPAGE,Nanyang Technological University,,
187,Adarsh S. Sethi,https://www.eecis.udel.edu/~sethi,NOSCHOLARPAGE,University of Delaware,,
188,Adel Cherif,http://www.qu.edu.qa/engineering/computer/faculty/adel_ch.php,obJnqXUAAAAJ,Qatar University,81.0,5.0
189,Adel Elmaghraby,http://louisville.edu/speed/people/faculty/elmaghrabyAdel,84U09_IAAAAJ,University of Louisville,4957.0,32.0
190,Adel Rahmani,http://www.iust.ac.ir/content/18919/Dr.Torkaman-Rahmani,NOSCHOLARPAGE,IUST,,
191,Adele A. Rescigno,http://old.di.unisa.it/professori/rescigno/MMI/lo.htm,PtEkQRAAAAAJ,University of Salerno,969.0,16.0
192,Adelinde M. Uhrmacher,https://mosi.informatik.uni-rostock.de/team/staff/prof-dr-rer-nat-adelinde-m-uhrmacher,NIyd6aoAAAAJ,University of Rostock,5182.0,36.0
193,Adenilso Simão,http://icmc.usp.br/pessoas?id=6078529,gdT5wnMAAAAJ,USP-ICMC,1712.0,23.0
194,Adi Akavia,https://sites.google.com/view/akavia,ogugwmEAAAAJ,University of Haifa,1197.0,15.0
195,Adi Shamir,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1486,EHLBP20AAAAJ,Weizmann Institute of Science,110000.0,95.0
196,Adilson Elias Xavier,http://www.cos.ufrj.br/index.php/pt-BR/pessoas/details/18/1001-adilson,uTO_O_8AAAAJ,UFRJ,562.0,11.0
197,Adish Singla [SWS],https://people.mpi-sws.org/~adishs,kXz2seUAAAAJ,Max Planck Society,2526.0,25.0
198,Aditi Majumder,http://www.ics.uci.edu/~majumder,tXhqJv0AAAAJ,Univ. of California - Irvine,3284.0,34.0
199,Aditya Akella,http://pages.cs.wisc.edu/~akella,d_rxnzAAAAAJ,University of Texas at Austin,17309.0,57.0
200,Aditya Bhaskara,http://www.cs.utah.edu/~bhaskara,tqxTaiAAAAAJ,University of Utah,1673.0,16.0
201,Aditya G. Parameswaran,https://cs.illinois.edu/directory/profile/adityagp,VeB3UbcAAAAJ,Univ. of California - Berkeley,5093.0,42.0
202,Aditya Gilra,https://www.sheffield.ac.uk/dcs/people/academic/aditya-gilra,VpxnuTgAAAAJ,University of Sheffield,252.0,5.0
203,Aditya Grover,https://aditya-grover.github.io,oOhnPUgAAAAJ,Univ. of California - Los Angeles,9195.0,22.0
204,Aditya Kanade,http://www.csa.iisc.ac.in/~kanade,NOSCHOLARPAGE,IISc Bangalore,,
205,Aditya Mathur,https://istd.sutd.edu.sg/people/faculty/aditya-p-mathur,DdQMeHoAAAAJ,SUTD,10367.0,52.0
206,Aditya Nigam,http://faculty.iitmandi.ac.in/~aditya,ffSpknUAAAAJ,IIT Mandi,1063.0,18.0
207,Aditya Tatu,http://www.daiict.ac.in/daiict/people/faculty.html,f0nqLS8AAAAJ,DAIICT,67.0,4.0
208,Aditya Thakur,http://thakur.cs.ucdavis.edu,x8952qgAAAAJ,Univ. of California - Davis,1156.0,16.0
209,Adlen Ksentini,http://www.eurecom.fr/en/people/ksentini-adlen,U6YFwO4AAAAJ,EURECOM,9108.0,47.0
210,Adnan Darwiche,http://www.cs.ucla.edu/~darwiche,pygPWvEAAAAJ,Univ. of California - Los Angeles,,
211,Adnan Ozsoy,https://web.cs.hacettepe.edu.tr/~aozsoy,Ic73aUUAAAAJ,Hacettepe University,233.0,7.0
212,Adnan Yazici,http://user.ceng.metu.edu.tr/~yazici,ebJH_QwAAAAJ,Middle East Technical University,4154.0,31.0
213,Adolfo Muñoz,http://giga.cps.unizar.es/~amunoz/index.php/en,H8bBlDkAAAAJ,Universidad de Zaragoza,799.0,13.0
214,Adolfo Piperno,http://pallini.di.uniroma1.it/Personal.html,4y2zqO8AAAAJ,Sapienza University of Rome,,
215,Adrian Dumitrescu,https://uwm.edu/engineering/people/dumitrescu-ph-d-adrian,cjVwVpsAAAAJ,University of Wisconsin - Milwaukee,2127.0,24.0
